property_id,postal_code,type_of_property,subtype_of_property,price,bedrooms,living_area,openfire,terrace,garden,rooms,bathrooms,region,province,state_of_property,facade_count,heating,kitchen,furnished,swimmingpool
11201072,2600,APARTMENT,APARTMENT,239000,1,57,False,32,False,,1,Flandres,Anvers,AS_NEW,2,GAS,HYPER_EQUIPPED,False,
11201224,1300,HOUSE,HOUSE,690000,3,,False,,False,13,2,Wallonie,Brabant Wallon,GOOD,,,INSTALLED,,
11201243,9800,HOUSE_GROUP,HOUSE_GROUP,,,,False,,False,,,Flandres,Flandre Orientale,,,,,,
11201225,1300,HOUSE,HOUSE,860000,5,,False,,False,16,3,Wallonie,Brabant Wallon,GOOD,,,INSTALLED,,
11201258,2000,APARTMENT,APARTMENT,259000,1,84,False,,False,,1,Flandres,Anvers,AS_NEW,3,GAS,SEMI_EQUIPPED,,
11201250,1000,HOUSE,APARTMENT_BLOCK,990000,0,1000,False,,False,,,Bruxelles,Bruxelles,TO_RENOVATE,2,,,,
11201260,1200,HOUSE,APARTMENT_BLOCK,685000,4,310,False,8,False,,2,Bruxelles,Bruxelles,GOOD,2,GAS,HYPER_EQUIPPED,False,False
11201241,8400,APARTMENT,SERVICE_FLAT,315000,2,,False,,False,2,,Flandres,Flandre Occidentale,GOOD,,,,,
11201226,8400,APARTMENT,SERVICE_FLAT,322000,2,,False,,False,2,,Flandres,Flandre Occidentale,GOOD,,,,,
11201270,9700,HOUSE,HOUSE,279000,3,178,False,,False,,1,Flandres,Flandre Orientale,,3,GAS,,False,False
11201261,1200,HOUSE,HOUSE,685000,4,310,False,8,False,,2,Bruxelles,Bruxelles,GOOD,2,GAS,HYPER_EQUIPPED,False,False
